birth_date,player,birth_year,pos
,Daniel Carlson,,K
,Jake Moody,,K
,Chase McLaughlin,,K
,Matt Gay,,K
,Travis Hunter,,WR
,Tyler Bass,,K
,Joshua Palmer,,WR
,Aaron Jones Sr.,,RB
,Ray-Ray McCloud III,,WR
,Anthony Richardson Sr.,,QB
,Jake Bates,,K
,Chris Boswell,,K
,Wil Lutz,,K
,Younghoe Koo,,K
,Pierre Strong Jr.,,RB
,Michael Pittman Jr.,,WR
,Tyler Loop,,K
,Brandon McManus,,K
,A.J. Dillon,,RB
,Audric Estime,,RB
,Joshua Karty,,K
,Jason Myers,,K
,Brandon Aubrey,,K
,Harrison Butker,,K
,Patrick Mahomes II,,QB
,Patrick Taylor Jr.,,RB
,Tre' Harris,,WR
,Chad Ryland,,K
,Cameron Ward,,QB
,Blake Grupe,,K
,Ka'imi Fairbairn,,K
,Cam Little,,K
,Brian Robinson Jr.,,RB
,Travis Etienne Jr.,,RB
,Cairo Santos,,K
,Jason Sanders,,K
,Evan McPherson,,K
,Cameron Dicker,,K
,Jake Elliott,,K
,Kyle Pitts Sr.,,TE
,Will Reichard,,K
